pmid,pmcid,title,year,extraction_status,confidence,source,n_genes,genes,context,has_fulltext
34530089,,Construction and verification of a prognostic risk model based on immunogenomic landscape analysis of bladder caner.,2022,extracted,high,abstract_window,6,CD4|CTLA4|CD47|CD276|CXCL8|HAVCR2,"er (BCa) patinets. 350 differential expressed immune-related genes (DEIRGs) were obtained according to the transcriptome profiling and immune-related genes from the Cancer Genome Atlas (TCGA) database and ImmPort database, respectively. A prognostic risk model was constructed based on 15 hub genes through univariate, multivariate, and LASSO Cox regression analyses. The area under the receiver operating characteristic (ROC) curve was 0.743, indicating the superiority of the model. The scatter plo",N
35023971,PMC8743383,Characterization of an Autophagy-Immune Related Genes Score Signature and Prognostic Model and its Correlation with Immune Response for Bladder Cancer.,2022,extracted,high,fulltext_window,4,SLFN11|GUK1|CCNL2|BTN3A3,"e the prognosis signature in overall set, testing set and GSE13507 dataset. (F and G) The DCA curve and multivariate ROC curve were performed to evaluate predictive accuracy of risk score and nomogram. The results showed that the predictive accuracy risk score and nomogram were higher than other clinicopathological features including age, gender, grade, stage. (H) Prognosis-related nomogram was constructed based on risk score in the model and prognosis-associated clinicopathological parameters i",Y
35027921,PMC8749226,"Identification of a Novel PPAR Signature for Predicting Prognosis, Immune Microenvironment, and Chemotherapy Response in Bladder Cancer.",2021,extracted,high,abstract,4,CPT1B|CALR|AHNAK|FADS2,"The candidate small molecule drugs targeting PPAR-targeted genes were screened by the CMAP database.We constructed and validated the prognostic signature comprising of 4 PPAR-targeted genes (CPT1B, CALR, AHNAK, and FADS2), which was an independent prognostic biomarker in BLCA patients.",Y
33459039,,Construction of a immune-associated genes based prognostic signature in bladder cancer.,2021,extracted,high,fulltext_window,5,STAT1|ANXA6|CACYBP|AHNAK|CALR,"els of STAT1, ANXA6, CACYBP, AHNAK and CALR were determined by the comparative threshold cycle (Ct) method using the formula 2 /C0 (DDCt). The relationship between M2 TAMs secreted TGF- b1 and five IAGs in T24 cells TIMER analysis indicated that the signature was significantly related to macrophages in BC. Current studies have demon- strated that M2 tumour-associated macrophages (TAMs) can secret transforming growth factor- b1 (TGF- b1), which played an important role in the immune response and ",Y
34849009,PMC8627284,Novel Ferroptosis-Related Multigene Prognostic Models for Patients with Bladder Cancer.,2021,extracted,high,fulltext,7,PDCD1|CD274|CTLA4|HAVCR2|LAG3|TIGIT|TOX,"To further confirm our presumption, the expressions of immune checkpoint genes and exhausted T-cell signatures (PDCD1, CD274, CTLA4, HAVCR2, LAG3, TIGIT, TOX) were compared between the two groups (Figure 6C–I).",Y
34803395,PMC8594790,A Newly Defined Pyroptosis-Related Gene Signature for the Prognosis of Bladder Cancer.,2021,extracted,high,fulltext,5,BAK1|GZMB|IRF1|TP63|AIM2,"The study constructed a signature featuring 8 pyroptosis-related genes (BAK1, GZMB, IRF1, TP63, AIM2, NOD 2, TNF and GZMA) and found it could forecast survival in BC patients.BAK1 is initially established as an ultimate death effector of apoptosis triggering cues.",Y
34706720,PMC8549165,Development and validation of a novel lipid metabolism-related gene prognostic signature and candidate drugs for patients with bladder cancer.,2021,extracted,high,abstract_window,3,CTLA4|LAG3|HAVCR2,n and patient clinical data were obtained from The Cancer Genome Atlas (TCGA) and Gene Expression Omnibus (GEO) datasets. Cox regression analysis and least absolute shrinkage and selection operator (LASSO) regression analysis was used to construct a signature for predicting overall survival of patients with BLCA. Kaplan-Meier analysis was performed to assess prognosis. The connectivity Map (CMAP) database was used to identify small molecule drugs for treatment. A nomogram was constructed and ass,Y
34512722,PMC8429908,Tumor Expression Profile Analysis Developed and Validated a Prognostic Model Based on Immune-Related Genes in Bladder Cancer.,2021,extracted,high,fulltext,8,DCHS1|PTGIS|PTPN6|AIFM3|FLRT2|PCSK5|CLSTN2|HSH2D,"A total of eight signature genes were identified: DCHS1, PTGIS, PTPN6, AIFM3, FLRT2, PCSK5, CLSTN2, and HSH2D (Figure 3D); the coefficients of the signature genes are shown in Supplementary Table 1.",Y
34418989,PMC8380338,A novel survival model based on a Ferroptosis-related gene signature for predicting overall survival in bladder cancer.,2021,extracted,high,abstract_window,12,CISD1|GCLM|CRYAB|SLC7A11|TFRC|ACACA|ZEB1|SQLE|FADS2|ABCC1|G6PD|PGD,"n-dependent form of programmed cell death. Ferroptosis is closely related to tumour occurrence and progression, but the prognostic value of ferroptosis-related genes (FRGs) in BLCA remains to be further clarified. In this study, we identified an FRG signature with potential prognostic value for patients with BLCA.The corresponding clinical data and mRNA expression profiles of BLCA patients were downloaded from The Cancer Genome Atlas (TCGA). Univariate Cox regression was used to extract FRGs rel",Y
34490263,PMC8417704,A Novel Ferroptosis-Related Prognostic Signature Reveals Macrophage Infiltration and EMT Status in Bladder Cancer.,2021,extracted,high,fulltext,6,CISD1|CRYAB|FTH1|ACACA|ZEB1|SQLE,A 6-gene signature was identified and risk score was calculated by following formula: (0.251 × CISD1) + (0.135 × CRYAB) + (0.225 × FTH1) + (0.656 × ACACA) + (0.242 × ZEB1) + (0.202 × SQLE).FIGURE 1Data processing flow chart.FIGURE 2Identification of bladder cancer-specific ferroptosis-related genes and construction of the prognostic model.,Y
34404901,PMC8370985,An immune cell infiltration-related gene signature predicts prognosis for bladder cancer.,2021,extracted,high,abstract_window,5,FPR1|CIITA|KLRC1|TNFRSF6B|WFIKKN1,", we identified turquoise module with strong and significant association with the infiltration abundance of immune cells which were associated with overall survival of BCa patients. Subsequently, we developed an immune cell infiltration-related gene signature based on the module genes (MGs) and immune-related genes (IRGs) from the Immunology Database and Analysis Portal (ImmPort). Then, we tested the prognostic power and performance of the signature in both discovery and external validation data",Y
34422642,PMC8378228,A Novel Prognostic Model Based on Ferroptosis-Related Gene Signature for Bladder Cancer.,2021,extracted,high,abstract_window,9,ALB|BID|FADS2|FANCD2|IFNG|MIOX|PLIN4|SCD|SLC2A3,Ferroptosis is a newly discovered programmed cell death and plays a crucial role in the occurrence and progression of tumors. Ferroptosis-related genes (FRGs) can be promising candidate biomarkers in BC. The objective of our study was to construct a prognostic model to improve the prognosis prediction of BC.The mRNA expression profiles and corresponding clinical data of bladder urothelial carcinoma (BLCA) patients were downloaded from The Cancer Genome Atlas (TCGA) and Gene Expression Omnibus (G,Y
34339395,PMC8386527,Development and validation of an intra-tumor heterogeneity-related signature to predict prognosis of bladder cancer: a study based on single-cell RNA-seq.,2021,extracted,high,fulltext_window,5,GPSM3|RFC4|RPA3|IFI27L2|APH1A,"ke leukocytes and monocytes [29, 30]. However, the functions of GPSM3 in malignant tumors remain unclear. Other novel biomarkers, like RFC4, RPA3, IFI27L2, and APH1A, were also identified, despite the unclear associated mechanisms. Totally, our risk signature helped identify novel biomarkers and might provide clues for mechanisms of BCa from the prospect of ITH.The potential compounds targeting HRS were also predicted with CMap. Some of the compounds could interact with malignant tumors from pre",Y
34368227,PMC8334560,Identification of a Prognostic Signature Associated With the Homeobox Gene Family for Bladder Cancer.,2021,extracted,high,abstract,6,TSHZ3|ZFHX4|ZEB2|MEIS1|ISL1|HOXC4,"Results: Six genes were selected to construct this prognostic model: TSHZ3, ZFHX4, ZEB2, MEIS1, ISL1, and HOXC4.",Y
34266411,PMC8281685,A novel immune-related gene pair prognostic signature for predicting overall survival in bladder cancer.,2021,extracted,high,fulltext_window,5,CD4|CTLA4|LAG3|BTLA|HAVCR2," group and the low-risk group. Then, univariate and multivariate Cox regression were performed to evaluate whether the risk score was an independent predictor of poor OS in BC patients. Subgroup analyses were performed to prove the robustness of the signature. The GSE31684 and IMvigor210 cohorts were used to validate the signature. In addition, the immune-related signatures from six other articles were compared with the current IRGP signature [27–32].Immune parametersTo assess immune infiltratio",Y
34112144,PMC8194149,Identification of a tumor microenvironment-related seven-gene signature for predicting prognosis in bladder cancer.,2021,extracted,high,fulltext_window,7,ADAMTS9|COL6A2|FBN1|FSTL1|ACAP1|IFIT3|TAP1,"croenvironment structure, which contributed to the poor prognosis of BLCA.Considering that previous studies have only focused on expression value of multiple genes to stratify patients and predict the outcome [23, 24], we attempted to develop a gene-signature formula model. LASSO is a widely used approach for establishing prognostic gene signature models, of which main advantage is the ability of preventing overfitting [33] .Based on the 55 genes, we identified seven TME related hub genes that c",Y
34095228,PMC8175978,Construction and External Validation of a Ferroptosis-Related Gene Signature of Predictive Value for the Overall Survival in Bladder Cancer.,2021,extracted,high,abstract_window,4,ALOX5|FANCD2|HMGCR|FADS2,"wnloaded the mRNA expression files and clinical data of 256 bladder samples (188 bladder tumour and 68 nontumour samples) from the GEO database and 430 bladder samples (411 bladder tumour and 19 nontumour samples) from the TCGA database. A multigene signature based on prognostic ferroptosis-related genes was constructed by least absolute shrinkage and selection operator Cox regression analysis in the GEO cohort. The TCGA cohort was used to validate the ferroptosis-related gene signature. Next, f",Y
33962639,PMC8103571,Identification and validation of a hypoxia-related prognostic and immune microenvironment signature in bladder cancer.,2021,extracted,high,fulltext_window,7,SLC2A3|ALDOB|FOXO3|SDC4|VEGFA|EGFR|GPC1,"sociated genes. b The 50 genes with the most associated interaction degrees were selected. c Univariate Cox regression analysis of hypoxia-related genes. d Multivariate Cox regression analysis of hypoxia-related genesTo construct the hypoxia-related risk model, univariate and multivariate Cox analyses were performed using the top 50 genes in the TCGA-BLCA cohort. In the univariate Cox analysis, 14 HRGs were significantly associated with patients’ OS outcomes (Fig. 2c). After multivariate Cox reg",Y
33779704,PMC8035626,A new m6A methylation-related gene signature for prognostic value in patient with urothelial carcinoma of the bladder.,2021,extracted,high,fulltext_window,15,METTL3|METTL14|METTL16|YTHDF1|YTHDF2|YTHDF3|WTAP|YTHDC1|YTHDC2|RBM15|ZC3H13|FTO|ALKBH5|HNRNPA2B1|HNRNPC,"ith clinical characteristics were analyzed as well. Besides, we conducted univariate, LASSO and multivariate Cox regression analysis. Based on these results, risk stratification models were constructed. Finally, the prognostic value of the gene risk signature was validated in TCGA test cohort as well as the HPA database.Materials and methodsDataset acquisition and analysisThe RNA-seq data and clinicopathological information of bladder urothelial carcinoma were downloaded from the TCGA database (",Y
33925460,PMC8146553,Identification of an 11-Autophagy-Related-Gene Signature as Promising Prognostic Biomarker for Bladder Cancer Patients.,2021,extracted,high,abstract,11,APOL1|ATG4B|BAG1|CASP3|DRAM1|ITGA3|KLHL24|P4HB|PRKCD|ULK2|WDR45,"The performance of the 11-gene ARG signature was further evaluated in a training cohort and an independent validation cohort (N = 200) using Kaplan-Meier OS curve analysis, receiver operating characteristic (ROC) analysis, as well as univariate and multivariate Cox regression analysis.Our study identified an 11-gene ARG signature that is significantly associated with OS, including APOL1, ATG4B, BAG1, CASP3, DRAM1, ITGA3, KLHL24, P4HB, PRKCD, ULK2, and WDR45.",Y
33937319,PMC8082411,Identification of an IRGP Signature to Predict Prognosis and Immunotherapeutic Efficiency in Bladder Cancer.,2021,extracted,high,fulltext_window,15,IDO1|CD274|HAVCR2|PDCD1|CTLA4|LAG3|PDCD1LG2|VIM|ACTA2|COL4A1|TGFBR2|ZEB1|CLDN3|SMAD9|TWIST1,"CA cohort. (A) Nomograms for predicting the probability of patient mortality based on IRPG signature and clinical variables. (B) The calibration plot for internal validation of the nomogram. (C) Decision curve analyses of the nomograms based on IRGP signature for 3-year overall survival. BLCA, bladder cancer; IRGP, immune-related gene pair.Evaluate Differences in TME Between High- and Low-GroupsWe used GSVA to explore the differences in biological pathways between the two groups of BLCA patients",Y
33535616,PMC7867154,A Molecular Signature Determines the Prognostic and Therapeutic Subtype of Non-Muscle-Invasive Bladder Cancer Responsive to Intravesical Bacillus Calmette-Guérin Therapy.,2021,extracted,high,fulltext_window,3,E2F1|RAD54L|FOXM1,"r T.J., Mogil L.S., et al. Identification of Differential Tumor Subtypes of T1 Bladder Cancer. Eur. Urol. 2020;78:533–537. doi: 10.1016/j.eururo.2020.06.048.9.Kim S.K., Roh Y.G., Park K., Kang T.H., Kim W.J., Lee J.S., Leem S.H., Chu I.S. Expression signature defined by FOXM1-CCNB1 activation predicts disease recurrence in non-muscle-invasive bladder cancer. Clin. Cancer Res. 2014;20:3233–3243. doi: 10.1158/1078-0432.CCR-13-2761.10.Mun J.Y., Baek S.W., Park W.Y., Kim W.T., Kim S.K., Roh Y.G., Je",Y
33545950,PMC7837905,Identification and prognostic value of a glycolysis-related gene signature in patients with bladder cancer.,2021,extracted,high,abstract_window,4,CHPF|AK3|GALK1|NUP188,"Bladder cancer (BC) is one of the most common malignancies worldwide. Several biomarkers related to the prognosis of patients with BC have previously been identified. However, these prognostic models use only one gene and are thus not reliable or accurate enough. The purpose of our study was to develop an innovative gene signature that has greater prognostic value in BC. So, in this study, we performed mRNA expression profiling of glycolysis-related genes in BC (n = 407) cohorts by mining data f",Y
33456631,PMC7785346,Construction of an Immune-Associated Gene-Based Signature in Muscle-Invasive Bladder Cancer.,2020,extracted,high,fulltext_window,4,ANXA6|AHNAK|ILK|NR2F6,"he KEGG enrichment analysis, these IAGs were primarily correlated with pathways related to adherens junction, extracellular matrix, vesicle lumen, focal adhesion, cell-substrate junction, and costamere (Figure 2(b)).3.2. Construction of an IAG-Based SignatureBy performing univariate Cox regression analysis on the 22 IAGs in the TCGA cohort, ANXA6 (annexin A6), AHNAK (AHNAK nucleoprotein), ILK (integrin-linked kinase), and NR2F6 (nuclear receptor subfamily 2 group F member 6) were significantly r",Y
33391264,PMC7774015,A TP53-Associated Immune Prognostic Signature for the Prediction of Overall Survival and Therapeutic Responses in Muscle-Invasive Bladder Cancer.,2020,extracted,high,fulltext,3,CTSE|ORM1|PTHLH,"The above results demonstrate the TIPS is effective in predicting the OS of MIBC patients.Gene Set Enrichment Analysis of the TP53-Associated Immune Prognostic Signature GenesTo further investigate enriched KEGG pathways of CTSE, ORM1 and PTHLH in MIBC, GSEA was performed based on TCGA-MIBC RNA-seq data.",Y
33292266,PMC7643334,Identification of metabolism-associated genes and construction of a prognostic signature in bladder cancer.,2020,extracted,high,fulltext_window,5,PLOD1|CKB|PYGB|AKR1B1|PDE5A,"map exhibited the enriched GO terms across the differentially expressed MAGs. b Heatmap exhibited the enriched KEGG pathways across the differentially expressed MAGsIdentification of prognosis-related MAGs and construction of a MAGs based prognostic signatureBy performing univariate Cox regression analysis on 23 MAGs, a total of 5 MAGs were identified to have significant prognostic value in BC (P < 0.05) (Fig. 3a). Five MAGs were considered as risk factors with HR values greater than 1. Subseque",Y
33313125,PMC7723522,Development of a prognostic signature for bladder cancer based on immune-related genes.,2020,extracted,high,fulltext_window,6,ABCC4|CFTR|TNFAIP3|APOBEC3G|CCR1|CHUK,15 20 25 Biological Processes Cellular Components immune response extracellular space chemotaxis inflammatory response extracellular region positive regulation of cell proliferation cell-cell signaling plasma membrane 5 0 –5 A B C D Shi et al. IRGPs signature for prognosis prediction in BC © Annals of T ranslational Medicine. All rights reserved. Ann Transl Med 2020;8(21):1380 | http://dx.doi.org/10.21037/atm-20-1102 Page 6 of 15 Table 3 Model information about IRGPs signature IRG 1 Full name Im,Y
32763782,,A novel risk score based on a combined signature of 10 immune system genes to predict bladder cancer prognosis.,2020,extracted,high,abstract_window,10,MMP9|RBP7|PDGFRA|AHNAK|OAS1|OLR1|RAC3|SLIT2|IGF1|AGTR1,"r with a poor prognosis worldwide. There is an urgent need to better understand the pathogenesis and progression of BC and to find useful biomarkers for diagnosis and prognosis. This study was aimed at developing a potential immunogenomic prognostic signature for BC patients. To identify possible immune-system-related genes (IRGs) whose parameters predict the survival of BC patients, we chose 371 BC patients and analyzed differentially expressed IRGs from The Cancer Genome Atlas (TCGA) datasets.",N
32882873,PMC7563367,Cancer-Specific Immune Prognostic Signature in Solid Tumors and Its Relation to Immune Checkpoint Therapies.,2020,excluded,missing,none,0,,Pan-cancer immune prognostic model without an extractable bladder-specific gene list,Y
32441304,PMC7286875,Development of a novel prognostic signature for predicting the overall survival of bladder cancer patients.,2020,excluded,missing,none,0,,Nine CpG methylation sites,Y
32467671,PMC7238531,A glycolysis-based 4-mRNA signature correlates with the prognosis and cell cycle process in patients with bladder cancer.,2020,extracted,high,abstract_window,3,NUP205|PFKFB1|PKM,cer from The Cancer Genome Atlas (TCGA) database. Gene set enrichment analysis (GSEA) was conducted to identify glycolytic gene sets that were significantly different between bladder cancer tissues and paired normal tissues. A prognosis-related gene signature was constructed by univariate and multivariate Cox analysis. Kaplan-Meier curves and time-dependent receiver operating characteristic (ROC) curves were utilized to evaluate the signature. A nomogram combined with the gene signature and clin,Y
32096345,PMC7163112,An immune relevant signature for predicting prognoses and immunotherapeutic responses in patients with muscle-invasive bladder cancer (MIBC).,2020,extracted,high,abstract,9,CCDC80|CD3D|CIITA|FN1|GBP4|GNLY|SPINK1|UBD|VIM,"An immune-relevant gene signature (TIM signature) consisting of nine key prognostic DEGs (CCDC80, CD3D, CIITA, FN1, GBP4, GNLY, SPINK1, UBD, and VIM) was constructed using least absolute shrinkage and selection operator (LASSO) Cox regression analysis.",Y
32117435,PMC7013035,Identification and Validation of an Individualized Prognostic Signature of Bladder Cancer Based on Seven Immune Related Genes.,2020,extracted,high,abstract_window,8,RBP7|PDGFRA|AHNAK|OAS1|RAC3|EDNRA|SH3BP2|CD4,"o tailor treatment for patients with BLCA.A set of 47 prognostic IRGs was identified. LASSO regression and identified seven BLCA-specific prognostic IRGs, i.e., RBP7, PDGFRA, AHNAK, OAS1, RAC3, EDNRA, and SH3BP2. We developed an IRG-based prognostic signature that stratify BLCA patients into two subgroups with statistically different survival outcomes [hazard ratio (HR) = 10, 95% confidence interval (CI) = 5.6-19, P < 0.001]. The ROC curve analysis showed acceptable discrimination with AUCs of 0",Y
31894276,PMC6967157,Identification of a 13‑mRNA signature for predicting disease progression and prognosis in patients with bladder cancer.,2020,extracted,high,abstract_window,6,CTHRC1|MMP11|AEBP1|SNCAIP|COL1A1|S100A8," 13‑mRNA signature, patients were divided into high‑ and low‑risk groups, with different prognostic outcomes. The gene signature was an independent prognostic factor for overall survival. Receiver operating characteristic analysis suggested that the signature performed well in the validation cohort and its predictive power outperformed other several published signatures. CTHRC1, MMP11, AEBP1, SNCAIP, COL1A1 and S100A8 were identified as hub genes and their expression levels were detected using r",Y
29896284,PMC5995946,Development Of A Three-Gene Prognostic Signature For Hepatitis B Virus Associated Hepatocellular Carcinoma Based On Integrated Transcriptomic Analysis.,2018,extracted,high,fulltext,3,SPP2|CDC37L1|ECHDC2,"As a result, further validation studies of our model with independent larger cohorts and further characterization of the functions of these 3 genes in HBV-associated HCC are required in the future.In conclusion, WGCNA analysis of differentially expressed genes acquired by RRA from 7 datasets following by multivariable Cox regression analysis identifies a three hub gene module (SPP2, CDC37L1, and ECHDC2) as a specific prognostic signature for HBV-associated HCC.",Y
29226853,PMC13078296,Clinical and RNA expression integrated signature for urothelial bladder cancer prognosis.,2018,extracted,high,fulltext,4,TUBB3|MYO6|BMI1|DNMT3A,Supplement material Supplementary Table 1 Mature sequences of miRNA signature and experimentally validated mRNA targets Mature miRNA Targets Mature miRNA Targets hsa-mir-143-3p KRAS hsa-miR-200c-3p TUBB3 MYO6 BMI1 DNMT3A SIP1 FNDC3B BAP1 MAPK7 ZEB2 FSCN1 ZEB1 HK2 Zeb2 SERPINE1 Zeb1 MACC1 FN1 PTGS2 ZFPM2 JAG1 UBE2I AKT1 PTPN13 COL1A1 RNF2 HRAS RCOR3 MDM2 BRD7 BCL2 ACVR2B MMP13 MSN SDC1 NTRK2 RREB1 ERRFI1 CD44 CCNE2 KLF5 XIAP BRAF BCL2 TNF TIMP2 NR2C2 FBLN5 546 J.,Y
28400426,,A Gene Signature for Selecting Benefit from Hypoxia Modification of Radiotherapy for High-Risk Bladder Cancer Patients.,2017,extracted,high,fulltext_window,6,CAV1|P4HA2|DPYSL2|SLC2A3|SLC16A1|LDLR,"8-0432.CCR-17-0038 14 Th i s st u d y sh o w ed t h a t t h e L en d a h l h y p ox i a si gn at u r e ( 1 5 ) w a s predictive of benefit from hypoxic modification but not prognostic in muscle invasive blad der carcinomas. None of the other hypoxia signatures were pr ognostic or predictive. A de no vo 24-gene signature was independently validated in multiple publically available cohort s and the new BCON cohort, and shown to be prognostic and predictive of benefit from the a ddition of CON to r",Y
29147616,PMC5674963,mRNA Expression levels of genes involved in antitumor immunity: Identification of a 3-gene signature associated with prognosis of muscle-invasive bladder cancer.,2017,extracted,manual,abstract,3,TNFSF4|CD8A|TIGIT,"A 3-gene signature of OX40L, CD8 and TIGIT was associated with prognosis in muscle-invasive bladder cancer.",Y
26802582,PMC4861129,Integrative Pathway Analysis of Metabolic Signature in Bladder Cancer: A Linkage to The Cancer Genome Atlas Project and Prediction of Survival.,2016,extracted,high,fulltext,4,CHIT1|DNMT1|GPD1|PLA2G4A,"B to D, in BCa cohorts of integrated 6-gene signature consisting of CHIT1, DNMT1, GPD1, PLA2G4A, TARSL2 and SETD7, which was significantly associated with worse prognosis in all 3 cohorts.",Y
